"event_title","event_id","event_subtitle","event_type","event_desc","event_loc","date_event_start","date_event_end","exp_attendance","exp_participants","event_host","event_url","address_full","lat","lng"
"Little Italy Mercato Farmers' Market","53675","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-12-18 08:00:00","2021-12-18 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53827","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-12-16 15:00:00","2021-12-16 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53570","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-12-15 16:00:00","2021-12-15 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53775","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-12-14 14:00:00","2021-12-14 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53724","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-12-12 09:00:00","2021-12-12 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53622","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-12-11 09:00:00","2021-12-11 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53674","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-12-11 08:00:00","2021-12-11 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53826","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-12-09 15:00:00","2021-12-09 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53569","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-12-08 16:00:00","2021-12-08 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53774","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-12-07 14:00:00","2021-12-07 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53723","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-12-05 09:00:00","2021-12-05 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53621","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-12-04 09:00:00","2021-12-04 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53673","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-12-04 08:00:00","2021-12-04 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53825","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-12-02 15:00:00","2021-12-02 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53568","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-12-01 16:00:00","2021-12-01 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53773","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-11-30 14:00:00","2021-11-30 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53722","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-11-28 09:00:00","2021-11-28 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53620","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-11-27 09:00:00","2021-11-27 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53672","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-11-27 08:00:00","2021-11-27 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53824","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-11-25 15:00:00","2021-11-25 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53567","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-11-24 16:00:00","2021-11-24 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53772","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-11-23 14:00:00","2021-11-23 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53721","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-11-21 09:00:00","2021-11-21 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53619","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-11-20 09:00:00","2021-11-20 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53671","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-11-20 08:00:00","2021-11-20 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53823","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-11-18 15:00:00","2021-11-18 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53566","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-11-17 16:00:00","2021-11-17 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53771","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-11-16 14:00:00","2021-11-16 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53720","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-11-14 09:00:00","2021-11-14 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53618","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-11-13 09:00:00","2021-11-13 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53670","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-11-13 08:00:00","2021-11-13 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53822","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-11-11 15:00:00","2021-11-11 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53565","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-11-10 16:00:00","2021-11-10 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53770","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-11-09 14:00:00","2021-11-09 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53719","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-11-07 09:00:00","2021-11-07 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53617","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-11-06 09:00:00","2021-11-06 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53669","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-11-06 08:00:00","2021-11-06 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53821","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-11-04 15:00:00","2021-11-04 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53564","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-11-03 16:00:00","2021-11-03 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53769","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-11-02 14:00:00","2021-11-02 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53718","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-10-31 09:00:00","2021-10-31 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53616","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-10-30 09:00:00","2021-10-30 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53668","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-10-30 08:00:00","2021-10-30 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53820","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-10-28 15:00:00","2021-10-28 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
"Ocean Beach Certified Farmers' Market","53563","","FARMERS","This farmer's market in Ocean Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","Newport Avenue between Bacon and Cable Streets","2021-10-27 16:00:00","2021-10-27 20:00:00","","","Ocean Beach Merchant's Association","www.oceanbeachsandiego.com/attractions/annual-events/farmers-market-wednesdays","Newport Avenue and Bacon Street","32.746857","-117.25107"
"Pacific Beach Tuesday Farmers' Market","53768","","FARMERS","This farmer's market in Pacific Beach offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","Bayard Street between Grand and Garnet Avenues","2021-10-26 14:00:00","2021-10-26 19:00:00","","","Discover PB","www.pacificbeachmarket.com","Bayard Street & Grand Avenue","32.79506","-117.2531"
"Hillcrest Farmers Market","53717","","FARMERS","This farmer's market in Hillcrest offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. There are also art & craft items, jewelry, and clothing. Come and shop!","DMV parking lot at 3690 Normal Street ~ Normal Street between Lincoln Avenue & University Avenue","2021-10-24 09:00:00","2021-10-24 14:00:00","","","Hillcrest Business Association","www.hillcrestfarmersmarket.com","3690 Normal Street","32.7485285","-117.1498856"
"City Heights Farmers' Market","53615","","FARMERS","This farmer's market in City Heights offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, bakery, dry goods, prepared foods, and specialty treats. There are also imported items from Latin America, East Africa, and Southwest Asia. Come and shop!","Wightman Street between 43rd Street and Fairmont Avenue","2021-10-23 09:00:00","2021-10-23 13:00:00","","","San Diego County Farm Bureau","www.sdfarmbureau.org","Wightman Street & 43rd Street","32.747757","-117.102"
"Little Italy Mercato Farmers' Market","53667","","FARMERS","This farmer's market in Little Italy offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, flowers, meat, nuts, sauces, bakery, dry goods, prepared foods, and specialty treats. There are also gift items and craft creations. Come and shop!","W. Date St. between Front Street and its cul-de-sac west of Kettner Boulevard","2021-10-23 08:00:00","2021-10-23 14:00:00","",""," Little Italy Association of San Diego","www.littleitalymercato.com","Date Street & Front Street","32.723","-117.16479"
"North Park Thursday Market","53819","","FARMERS","This farmer's market in North Park offers an array of groceries and goodies. Featured items include fresh fruits and vegetables, meat, seafood, dairy products, dry goods, prepared foods, and specialty treats. Come and shop!","North Park Way between Granada Avenue and 30th Street","2021-10-21 15:00:00","2021-10-21 19:30:00","","","North Park Business and Neighborhood Foundation","www.northparkmarket.com","North Park Way & Granada Avenue","32.747375","-117.13188999999998"
